name	rooms_1	rooms_2	rooms_3	rooms_4	job_sales	units_5_9	class_govt	race_asian	race_mixed	age_85_over	income_mean	job_service	rent_median	in_arts_food	race_pacific	value_median	grapi_35_more	income_median	units_20_more	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1960_1969	built_1970_1979	in_public_admin	occupied_renter	income_200000_more	value_1000000_more	ancestry_portuguese	value_500000_999999	edu_associate_degree	income_100000_149999	income_150000_199999	rank_rooms_1	rank_rooms_2	rank_rooms_3	rank_rooms_4	rank_job_sales	rank_units_5_9	rank_class_govt	rank_race_asian	rank_race_mixed	rank_age_85_over	rank_income_mean	rank_job_service	rank_rent_median	rank_in_arts_food	rank_race_pacific	rank_value_median	rank_grapi_35_more	rank_income_median	rank_units_20_more	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1960_1969	rank_built_1970_1979	rank_in_public_admin	rank_occupied_renter	rank_income_200000_more	rank_value_1000000_more	rank_ancestry_portuguese	rank_value_500000_999999	rank_edu_associate_degree	rank_income_100000_149999	rank_income_150000_199999
Maryland	1.7	2.2	7.5	12.8	19.5	5.0	21.7	6.4	4.5	2.0	114236	16.6	1415	8.1	0.0	325400	40.3	87063	9.3	27.1	10.8	3.6	2.5	11.5	14.1	10.9	32.9	13.4	3.2	0.2	17.8	6.8	19.3	10.8	35	32	30	50	47	9	4	9	21	26	5	34	4	45	32	9	12	2	15	1	6	9	9	12	39	3	29	4	10	17	11	48	2	1
Massachusetts	2.6	3.4	10.0	15.7	19.4	5.8	12.3	6.8	4.8	2.4	115964	16.8	1336	8.2	0.0	398800	39.1	84385	11.2	20.2	11.4	5.3	5.0	10.1	11.5	3.8	37.5	14.3	6.5	4.0	27.8	7.7	18.0	10.6	15	14	10	26	49	6	42	7	15	9	3	28	7	42	32	4	20	4	9	9	4	4	5	23	49	45	8	3	5	2	4	43	10	2
Michigan	1.5	2.0	7.2	13.8	20.7	4.1	10.7	3.2	3.8	2.2	80803	17.3	892	9.2	0.0	162600	39.8	59234	5.3	6.6	1.8	0.6	0.8	11.8	15.4	3.5	28.3	5.7	0.9	0.1	4.1	9.6	14.6	5.9	40	40	33	42	37	32	51	22	31	16	32	19	30	20	32	41	17	34	31	34	31	28	24	9	26	49	49	29	35	29	40	18	35	30
Minnesota	2.1	3.1	8.8	13.5	20.4	2.2	12.2	4.9	3.9	2.2	96814	15.8	1010	7.9	0.0	235700	36.0	73382	12.6	13.6	3.6	1.1	1.1	9.4	14.8	3.6	28.1	8.5	1.2	0.1	7.6	11.6	18.3	8.2	21	18	20	47	40	52	45	12	27	16	14	49	24	47	32	21	35	14	6	21	19	18	15	31	32	48	50	15	31	29	22	3	6	14
Mississippi	1.5	1.4	5.7	14.8	20.8	4.2	18.5	1.0	1.7	1.7	65156	17.8	789	9.5	0.0	125500	40.2	46511	2.4	3.4	0.6	0.2	0.1	11.5	18.2	5.3	31.2	3.4	0.6	0.0	2.4	10.2	11.2	4.1	40	49	49	36	35	28	10	48	52	40	51	13	47	18	32	50	14	51	52	47	51	49	52	12	7	14	37	50	46	51	50	10	51	49
Missouri	1.8	2.2	7.3	15.1	21.9	3.8	12.3	2.0	3.5	2.1	78194	16.8	843	8.8	0.1	163600	36.0	57290	5.0	4.9	1.2	0.4	0.5	11.4	15.3	4.3	32.9	5.2	0.9	0.1	4.2	8.1	14.2	5.3	29	32	32	33	10	39	42	35	36	23	37	28	40	31	13	40	35	39	34	41	39	33	40	14	28	33	29	31	35	29	38	36	38	38
Montana	3.0	3.4	8.8	16.3	20.9	2.8	16.4	0.8	3.8	2.0	76834	18.8	836	11.4	0.1	244900	35.7	56539	4.0	6.2	1.5	0.4	0.8	8.4	17.1	5.6	31.5	4.7	2.4	0.2	9.5	9.4	13.8	5.4	9	14	20	17	30	50	12	49	31	26	42	8	41	4	13	19	38	41	43	37	34	33	24	42	15	11	36	40	15	17	16	19	39	36
Nebraska	1.7	2.7	7.8	13.8	21.2	4.0	14.1	2.5	3.9	2.2	82306	15.9	857	7.4	0.1	164000	32.9	63015	7.2	5.6	1.1	0.3	0.9	11.1	15.8	4.2	33.8	5.2	0.7	0.1	3.3	10.7	15.9	6.1	35	23	27	42	24	33	28	29	27	16	30	47	36	51	13	39	49	26	22	40	42	39	21	17	22	36	20	31	44	29	44	8	24	26
Nevada	3.3	3.6	10.4	17.7	22.9	7.5	11.9	8.3	7.5	1.5	84350	25.1	1159	23.1	0.7	290200	40.8	62043	9.4	17.9	4.0	0.9	0.7	5.8	12.9	4.2	42.9	5.9	2.4	0.6	11.3	8.4	15.4	6.2	8	10	6	7	5	1	48	6	7	48	25	1	15	1	4	12	11	27	13	14	18	22	28	52	45	36	4	28	15	8	14	33	28	24
New Hampshire	1.8	2.9	8.8	16.3	21.3	4.6	13.1	2.7	2.9	2.2	101292	16.0	1145	8.7	0.0	272300	36.6	77923	6.8	17.0	4.3	1.5	0.8	8.7	14.9	4.1	28.8	9.7	1.5	1.5	9.2	10.4	18.9	9.2	29	19	20	17	22	16	39	28	44	16	11	45	17	35	32	17	33	8	24	16	16	16	24	38	30	39	45	11	23	4	19	9	5	9
