name	employed	age_45_54	age_55_59	age_60_64	age_65_74	median_age	race_white	age_16_over	age_18_over	age_21_over	grapi_20_24	grapi_25_29	grapi_30_34	income_median	ancestry_greek	ancestry_irish	rent_1000_1499	ancestry_french	built_1980_1989	ancestry_english	ancestry_italian	income_percapita	ancestry_scottish	ancestry_lithuanian	edu_bachelor_degree	value_200000_299999	value_300000_499999	income_100000_149999	income_150000_199999	edu_highschool_higher	ancestry_frenchcanadian	rank_employed	rank_age_45_54	rank_age_55_59	rank_age_60_64	rank_age_65_74	rank_median_age	rank_race_white	rank_age_16_over	rank_age_18_over	rank_age_21_over	rank_grapi_20_24	rank_grapi_25_29	rank_grapi_30_34	rank_income_median	rank_ancestry_greek	rank_ancestry_irish	rank_rent_1000_1499	rank_ancestry_french	rank_built_1980_1989	rank_ancestry_english	rank_ancestry_italian	rank_income_percapita	rank_ancestry_scottish	rank_ancestry_lithuanian	rank_edu_bachelor_degree	rank_value_200000_299999	rank_value_300000_499999	rank_income_100000_149999	rank_income_150000_199999	rank_edu_highschool_higher	rank_ancestry_frenchcanadian
South Carolina	56.2	12.7	6.7	6.6	10.8	39.7	66.5	80.8	78.2	74.1	12.6	11.2	9.1	54864	0.3	8.6	29.9	1.6	15.7	9.0	3.0	30727	2.2	0.1	18.2	19.2	14.4	13.4	5.2	88.3	0.4	42	24	25	15	9	14	39	18	18	20	39	44	21	42	20	36	23	36	10	21	32	41	11	22	38	35	36	42	40	37	21
South Dakota	65.2	11.0	6.7	6.6	9.7	37.2	83.6	78.1	75.5	71.4	14.2	11.5	8.6	59896	0.1	10.1	18.7	2.2	9.6	6.2	1.2	31415	1.2	0.0	20.1	22.3	14.7	15.1	5.1	92.2	0.4	5	49	25	15	24	39	14	47	47	47	4	36	40	32	45	27	49	21	45	40	50	38	42	46	26	19	35	29	42	13	21
Tennessee	57.9	13.0	6.7	6.4	9.8	38.8	76.7	80.3	77.7	73.9	12.9	12.2	9.2	54833	0.2	9.3	28.2	1.5	13.9	9.4	2.3	30869	2.1	0.1	17.8	20.8	15.4	13.3	4.9	88.2	0.2	38	13	25	25	21	24	25	26	27	23	29	12	16	43	31	33	24	40	25	17	37	40	14	22	40	29	34	43	44	38	35
Texas	61.0	12.4	5.9	5.3	7.6	34.8	69.2	77.1	74.2	70.0	13.6	11.8	9.2	63826	0.2	6.1	36.5	1.8	15.9	6.2	1.8	32177	1.3	0.1	19.9	21.2	17.0	15.6	7.0	84.4	0.2	19	30	50	50	50	49	35	51	51	51	15	21	16	22	31	47	11	30	9	40	45	35	40	22	27	27	31	27	19	50	35
Utah	66.1	10.3	4.9	4.6	6.7	31.1	85.1	73.8	70.6	66.1	13.9	12.2	9.7	74197	0.4	5.9	37.4	1.8	12.1	24.1	2.8	30986	4.2	0.1	23.0	28.0	35.8	19.2	7.8	93.0	0.2	4	52	52	52	52	52	12	52	52	52	9	12	5	13	13	49	9	30	32	1	33	39	3	22	7	9	3	4	15	9	35
Vermont	62.8	12.9	7.6	7.8	11.8	42.8	93.6	83.8	81.5	76.4	12.9	13.6	9.5	63477	0.4	16.5	32.7	10.5	15.6	17.0	7.3	35854	4.3	0.4	23.5	28.4	23.0	16.4	6.1	93.5	7.9	14	15	3	1	2	3	2	1	2	6	29	2	8	24	13	5	16	4	11	4	9	19	2	6	6	8	21	19	26	3	2
Virginia	61.0	13.2	6.8	6.2	9.2	38.4	66.3	80.5	78.0	73.9	13.9	12.1	9.1	76398	0.4	9.0	30.1	1.7	16.3	9.8	3.9	41255	2.0	0.2	22.4	21.6	25.4	17.2	9.0	90.3	0.4	19	8	21	39	36	27	40	21	20	23	9	14	21	11	13	35	22	34	8	15	22	6	16	14	10	23	16	14	10	29	21
Washington	60.6	12.4	6.4	6.3	9.4	37.8	73.5	80.4	78.0	74.4	13.9	12.7	9.8	77006	0.3	10.1	31.1	2.8	12.9	10.3	3.4	40837	2.7	0.2	22.8	19.1	33.2	18.2	8.9	91.7	0.7	23	30	41	32	33	36	30	22	20	17	9	5	3	10	20	27	19	13	26	13	26	9	9	14	9	36	8	8	11	16	13
West Virginia	50.1	12.9	7.0	7.3	11.8	42.7	92.5	82.2	79.8	76.0	11.6	11.1	8.9	48037	0.3	12.9	16.1	1.3	12.2	11.1	4.3	27346	2.0	0.1	12.7	15.2	8.0	11.9	3.9	87.6	0.1	51	15	14	4	2	4	3	9	9	7	50	47	27	50	20	12	51	49	31	9	18	50	16	22	51	47	50	49	51	41	51
Wisconsin	63.7	12.7	7.4	6.7	9.9	39.6	84.3	80.6	78.1	74.0	13.5	11.4	8.3	63293	0.3	10.6	26.5	2.9	9.8	5.8	3.4	34450	1.0	0.2	20.3	24.6	16.5	16.3	6.1	92.6	0.9	10	24	5	12	18	15	13	19	19	21	19	41	48	25	20	23	31	12	44	42	26	22	47	14	24	17	33	21	26	10	10
Wyoming	62.3	11.4	6.8	6.8	10.1	38.0	90.3	79.4	76.8	72.8	13.6	12.3	8.8	65304	0.3	11.5	24.9	2.6	14.9	12.7	3.2	34415	3.1	0.1	17.7	28.8	20.4	17.5	6.2	93.6	0.5	15	47	21	10	15	34	5	37	37	37	15	9	35	21	20	16	39	16	18	6	29	23	6	22	41	5	25	13	24	2	17
