name	age_5_9	rooms_8	rooms_9	employed	age_10_14	age_15_19	age_20_24	age_35_44	job_sales	age_5_under	age_under18	grapi_15_19	grapi_30_34	rooms_median	ancestry_swiss	ancestry_welsh	rent_1000_1499	ancestry_danish	built_2000_2009	built_2010_2013	ancestry_english	ancestry_swedish	built_2014_later	ancestry_scottish	income_75000_99999	edu_bachelor_degree	value_200000_299999	value_300000_499999	edu_college_nodegree	income_100000_149999	edu_highschool_higher	rank_age_5_9	rank_rooms_8	rank_rooms_9	rank_employed	rank_age_10_14	rank_age_15_19	rank_age_20_24	rank_age_35_44	rank_job_sales	rank_age_5_under	rank_age_under18	rank_grapi_15_19	rank_grapi_30_34	rank_rooms_median	rank_ancestry_swiss	rank_ancestry_welsh	rank_rent_1000_1499	rank_ancestry_danish	rank_built_2000_2009	rank_built_2010_2013	rank_ancestry_english	rank_ancestry_swedish	rank_built_2014_later	rank_ancestry_scottish	rank_income_75000_99999	rank_edu_bachelor_degree	rank_value_200000_299999	rank_value_300000_499999	rank_edu_college_nodegree	rank_income_100000_149999	rank_edu_highschool_higher
South Dakota	7.0	10.9	17.3	65.2	6.8	6.6	6.7	11.9	21.3	6.8	24.5	15.6	8.6	5.8	0.4	0.5	18.7	1.8	13.9	4.3	6.2	3.0	4.7	1.2	14.6	20.1	22.3	14.7	21.1	15.1	92.2	4	6	8	5	10	16	25	43	22	5	6	2	40	13	10	26	49	4	24	4	40	5	11	42	3	26	19	35	22	29	13
Tennessee	6.0	9.0	12.3	57.9	6.4	6.3	6.6	12.5	21.8	6.0	22.3	13.5	9.2	5.7	0.2	0.6	28.2	0.1	16.1	3.4	9.4	0.5	4.7	2.1	12.5	17.8	20.8	15.4	20.7	13.3	88.2	27	31	26	38	23	34	34	21	12	25	25	26	16	19	24	18	24	40	13	17	17	40	11	14	34	40	29	34	29	43	38
Texas	7.0	8.0	10.2	61.0	7.4	7.1	7.0	13.6	22.0	7.0	25.8	13.6	9.2	5.4	0.1	0.4	36.5	0.2	18.7	5.1	6.2	0.5	7.1	1.3	12.5	19.9	21.2	17.0	21.5	15.6	84.4	4	38	36	19	2	2	12	4	7	3	2	24	16	37	44	38	11	28	8	2	40	40	2	40	34	27	27	31	20	27	50
Utah	8.3	11.7	25.4	66.1	8.3	7.9	8.3	13.7	23.7	7.9	29.4	15.2	9.7	6.4	1.1	1.9	37.4	4.6	19.4	4.9	24.1	3.4	6.8	4.2	15.4	23.0	28.0	35.8	25.5	19.2	93.0	1	2	1	4	1	1	1	3	4	1	1	4	5	1	1	1	9	1	5	3	1	4	3	3	1	7	9	3	3	4	9
Vermont	5.1	9.4	12.1	62.8	5.3	6.8	7.3	11.3	19.2	4.7	18.5	12.8	9.5	5.6	0.3	1.1	32.7	0.4	10.8	2.2	17.0	1.6	2.1	4.3	13.9	23.5	28.4	23.0	16.7	16.4	93.5	48	21	29	14	51	8	4	52	50	50	51	40	8	23	19	4	16	18	42	39	4	18	43	2	11	6	8	21	46	19	3
Virginia	6.0	10.9	18.4	61.0	6.3	6.5	6.7	13.0	19.8	6.0	22.0	13.9	9.1	6.0	0.2	0.7	30.1	0.2	14.9	3.3	9.8	0.6	3.6	2.0	12.9	22.4	21.6	25.4	19.1	17.2	90.3	27	6	5	19	30	22	25	10	46	25	31	16	21	5	24	17	22	28	18	19	15	34	22	16	28	10	23	16	39	14	29
Washington	6.2	9.3	13.3	60.6	6.1	6.0	6.4	13.4	19.5	6.1	22.0	13.7	9.8	5.5	0.4	0.9	31.1	0.9	15.0	3.6	10.3	2.8	4.8	2.7	13.6	22.8	19.1	33.2	23.1	18.2	91.7	19	25	21	23	38	45	42	5	47	19	31	20	3	32	10	9	19	10	17	14	13	6	9	9	16	9	36	8	11	8	16
West Virginia	5.5	9.6	11.5	50.1	5.9	6.0	6.3	12.0	21.7	5.3	20.2	12.7	8.9	5.8	0.2	0.9	16.1	0.1	11.3	2.3	11.1	0.3	1.8	2.0	11.6	12.7	15.2	8.0	18.7	11.9	87.6	43	18	33	51	43	45	45	40	15	44	44	41	27	13	24	9	51	40	35	37	9	48	45	16	47	51	47	50	41	49	41
Wisconsin	6.0	9.0	12.5	63.7	6.4	6.5	6.8	12.2	20.3	5.7	21.9	14.9	8.3	5.6	0.9	0.5	26.5	1.0	12.3	2.0	5.8	2.4	2.5	1.0	14.1	20.3	24.6	16.5	20.5	16.3	92.6	27	31	23	10	23	22	17	32	44	38	34	7	48	23	2	26	31	9	30	41	42	11	35	47	6	24	17	33	32	21	10
Wyoming	6.7	10.2	15.9	62.3	6.6	6.3	6.7	12.6	19.0	6.1	23.2	13.6	8.8	5.8	0.4	1.1	24.9	1.5	14.8	4.2	12.7	2.8	3.0	3.1	14.9	17.7	28.8	20.4	25.4	17.5	93.6	8	14	13	15	16	34	25	17	51	19	15	24	35	13	10	4	39	6	19	5	6	6	30	6	2	41	5	25	4	13	2
