name	rooms_1	rooms_3	rooms_4	units_2	units_3_4	edu_9_less	in_finance	income_mean	job_service	rent_median	ancestry_arab	grapi_35_more	housing_units	units_20_more	ancestry_greek	in_information	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1940_1949	built_1950_1959	built_1960_1969	earnings_female	occupied_renter	popestimate2020	popestimate2021	ancestry_italian	ancestry_russian	ancestry_ukranian	ancestry_hungarian	built_1939_earlier	income_200000_more	value_1000000_more	in_education_health	value_500000_999999	ancestry_west_indian	rank_rooms_1	rank_rooms_3	rank_rooms_4	rank_units_2	rank_units_3_4	rank_edu_9_less	rank_in_finance	rank_income_mean	rank_job_service	rank_rent_median	rank_ancestry_arab	rank_grapi_35_more	rank_housing_units	rank_units_20_more	rank_ancestry_greek	rank_in_information	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1940_1949	rank_built_1950_1959	rank_built_1960_1969	rank_earnings_female	rank_occupied_renter	rank_popestimate2020	rank_popestimate2021	rank_ancestry_italian	rank_ancestry_russian	rank_ancestry_ukranian	rank_ancestry_hungarian	rank_built_1939_earlier	rank_income_200000_more	rank_value_1000000_more	rank_in_education_health	rank_value_500000_999999	rank_ancestry_west_indian
New Mexico	2.8	7.6	17.3	1.9	3.8	5.6	4.8	70241	19.7	857	0.3	39.7	943568	4.3	0.2	1.4	6.7	1.4	0.3	0.3	4.0	9.6	9.9	37898	32.0	2117566	2115877	2.2	0.4	0.1	0.2	4.4	4.1	1.3	25.7	5.1	0.1	12	28	8	42	26	4	47	48	4	36	31	19	37	41	31	46	33	36	39	46	33	22	29	43	34	37	37	38	34	34	31	43	48	27	10	34	36
New York	4.1	14.9	18.4	10.1	6.9	6.0	8.1	105304	19.6	1315	0.9	42.4	8362971	24.2	0.7	2.8	19.3	9.8	4.7	6.9	8.0	14.6	12.5	52668	45.9	20154933	19835913	11.9	1.8	0.7	0.7	31.7	11.5	8.2	28.3	22.5	4.0	4	2	6	2	6	3	5	9	5	9	4	6	4	2	4	3	11	8	5	4	2	4	6	6	2	4	4	5	2	3	6	3	8	4	2	7	2
North Carolina	1.6	7.2	16.6	2.0	2.7	4.3	6.7	79620	16.8	932	0.4	37.9	4687122	4.8	0.3	1.7	8.6	1.9	0.5	0.6	3.4	6.9	8.6	40819	34.3	10457177	10551162	3.2	0.4	0.2	0.3	5.1	6.0	1.3	22.8	6.5	0.5	39	33	15	37	45	16	17	34	28	27	22	27	8	37	20	20	27	29	30	33	41	42	40	32	16	9	9	29	34	25	20	39	25	27	35	29	13
North Dakota	2.9	9.6	16.9	2.1	3.5	2.7	5.7	85506	17.1	828	0.4	31.6	376597	15.0	0.1	1.2	6.3	1.1	0.4	0.6	4.2	8.6	8.7	42337	37.5	778962	774948	1.2	2.6	0.6	0.3	12.5	6.0	0.9	26.0	5.0	0.2	11	14	13	32	31	41	32	23	23	42	22	51	48	4	45	51	35	42	33	33	31	29	38	23	8	48	48	50	1	5	20	24	25	35	9	35	20
Ohio	1.4	6.9	13.3	4.1	4.4	2.7	6.5	78797	16.9	825	0.7	35.6	5217090	5.9	0.5	1.5	4.5	1.2	0.3	0.5	6.1	14.0	12.0	41886	33.7	11790587	11780017	6.1	0.6	0.4	1.5	20.0	5.2	0.6	24.2	3.2	0.2	47	40	49	13	16	41	21	35	25	43	10	40	7	29	8	36	42	39	39	40	9	5	8	26	24	7	7	10	27	10	1	12	31	46	22	45	20
Oklahoma	1.8	7.2	15.3	1.9	2.7	3.9	5.5	74195	17.3	818	0.3	35.7	1740972	4.0	0.1	1.6	4.5	0.9	0.3	0.4	5.1	10.1	11.3	36821	33.9	3962031	3986639	1.7	0.3	0.1	0.1	7.5	4.5	0.8	22.6	3.1	0.4	29	33	29	42	45	22	39	44	19	44	31	38	28	43	45	25	42	45	39	43	18	17	15	48	18	28	28	47	42	34	44	34	43	39	37	46	14
Oregon	3.0	8.8	17.0	2.6	4.3	3.4	5.5	88137	17.6	1173	0.5	41.2	1788855	8.8	0.3	1.7	18.1	5.8	1.6	1.2	5.2	7.9	9.1	44809	37.2	4241544	4246155	3.7	1.0	0.5	0.4	11.2	7.2	2.6	23.4	18.8	0.1	9	20	11	22	19	31	39	20	15	14	17	9	27	17	20	20	13	14	15	14	16	35	33	19	10	27	27	23	13	7	11	26	19	14	28	9	36
Pennsylvania	2.0	7.2	12.1	4.3	4.0	3.1	6.6	87262	17.0	958	0.6	38.1	5713345	6.4	0.5	1.6	10.1	3.1	1.1	1.0	7.2	13.5	10.1	44779	31.0	12989625	12964056	11.2	1.3	0.8	0.9	25.9	7.1	1.1	26.2	6.3	0.7	25	33	51	12	22	35	19	21	24	26	13	26	5	27	8	25	26	24	18	18	4	6	23	20	38	5	5	6	7	1	3	5	20	32	8	30	11
Puerto Rico	1.9	9.0	26.2	3.2	3.0	null	5.3	33315	20.6	486	null	44.4	1559976	5.8	null	1.6	1.2	0.5	0.2	0.2	3.5	8.6	17.4	24385	32.2	3281538	3263584	null	null	null	null	2.0	1.0	0.5	23.1	1.0	null	28	17	1	16	40		42	52	3	52		5	29	30		25	52	52	49	50	39	29	1	52	33	31	31					49	52	51	34	52	
Rhode Island	2.4	10.4	17.1	11.3	12.0	4.7	6.7	92427	18.4	1031	0.8	37.9	469289	8.4	0.7	1.5	12.6	3.3	1.0	1.0	6.6	12.3	11.7	47939	38.4	1096229	1095610	16.3	0.8	0.4	0.2	30.3	7.7	2.0	27.4	10.4	0.9	18	6	10	1	1	8	17	17	11	23	6	27	45	18	4	36	24	22	21	18	8	10	10	14	6	44	45	2	19	10	31	4	17	18	6	15	10
